dist,rpm,ang,success
1.8,2500.0,55.0,0.5
1.8,2500.0,55.0,1.0
1.8,2500.0,55.0,0.0
1.8,2500.0,55.0,0.5
1.8,2500.0,55.0,0.0
1.8,2500.0,55.0,0.0
1.8,2500.0,55.0,1.0
1.8,2500.0,55.0,1.0
1.8,2500.0,55.0,0.5
1.8,2500.0,55.0,0.0
1.8,2800.0,65.0,1.0
1.8,2800.0,65.0,0.0
1.8,2800.0,65.0,1.0
1.8,2800.0,65.0,0.5
1.8,2800.0,65.0,0.5
1.8,2800.0,65.0,0.0
1.8,2800.0,65.0,0.5
1.8,2550.0,55.0,1.0
1.8,2550.0,55.0,1.0
1.8,2550.0,55.0,1.0
1.8,2550.0,55.0,0.0
1.8,2550.0,55.0,0.0
1.8,2550.0,55.0,1.0
1.8,2550.0,55.0,0.0
1.8,2550.0,55.0,1.0
1.8,2550.0,55.0,0.0
1.8,2550.0,55.0,0.5
1.8,2550.0,55.0,0.5
1.8,2550.0,55.0,0.0
1.8,2550.0,55.0,0.0
1.8,2550.0,55.0,1.0
1.8,2550.0,55.0,1.0
1.8,2550.0,55.0,0.0
1.8,2550.0,55.0,1.0
1.8,2550.0,55.0,1.0
1.8,2550.0,55.0,0.5
1.8,2550.0,55.0,1.0
2.88,2900.0,55.0,0.5
2.88,2900.0,55.0,0.5
2.88,2900.0,55.0,0.0
2.88,2900.0,55.0,0.0
2.88,2900.0,55.0,0.0
2.88,2900.0,55.0,0.0
2.88,2900.0,55.0,0.5
2.88,2900.0,55.0,1.0
2.88,2900.0,55.0,0.0
2.88,2950.0,55.0,1.0
2.88,2950.0,55.0,0.0
2.88,2950.0,55.0,1.0
2.88,2950.0,55.0,1.0
2.88,2950.0,55.0,1.0
2.88,2950.0,55.0,1.0
2.88,2950.0,55.0,0.0
2.88,2950.0,55.0,0.0
2.88,2950.0,55.0,0.0
2.88,2950.0,55.0,0.0
2.88,2950.0,55.0,0.0
2.88,2950.0,55.0,1.0
2.88,2950.0,55.0,0.0
2.88,2950.0,55.0,0.5
2.88,2950.0,55.0,0.0
2.88,2950.0,55.0,0.0
2.88,2950.0,55.0,0.0
2.88,2940.0,55.0,1.0
2.88,2940.0,55.0,0.0
2.88,2940.0,55.0,0.0
